"No.","Time","Source","Destination","Protocol","Length","Info"
"23","3.276491031","10.0.2.15","93.184.220.29","TCP","54","35426  >  80 [ACK] Seq=1 Ack=1 Win=63840 Len=0"
"24","3.276742823","93.184.220.29","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  35426 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"25","3.782824366","10.0.2.15","142.250.185.67","TCP","54","53348  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"26","3.782857602","10.0.2.15","142.250.185.67","TCP","54","53346  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"27","3.782866744","10.0.2.15","142.250.185.67","TCP","54","53350  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"28","3.783045935","142.250.185.67","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  53348 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"29","3.783046007","142.250.185.67","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  53346 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"30","3.783046061","142.250.185.67","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  53350 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"31","4.803837930","10.0.2.15","93.184.220.29","TCP","54","35422  >  80 [ACK] Seq=1 Ack=1 Win=63920 Len=0"
"32","4.804100955","93.184.220.29","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  35422 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"33","5.073547915","10.0.2.15","34.252.113.116","TLSv1.2","613","Application Data"
"34","5.073812594","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=1432 Ack=1119 Win=65535 Len=0"
"35","5.133014089","34.252.113.116","10.0.2.15","TLSv1.2","580","Application Data"
"36","5.133049325","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=1119 Ack=1958 Win=65535 Len=0"
"37","5.133169137","34.252.113.116","10.0.2.15","TLSv1.2","959","Application Data, Application Data"
"38","5.133179817","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=1119 Ack=2863 Win=65535 Len=0"
"39","5.806001906","10.0.2.15","34.252.113.116","TLSv1.2","599","Application Data"
"40","5.806311267","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=2863 Ack=1664 Win=65535 Len=0"
"41","5.813644156","10.0.2.15","34.252.113.116","TLSv1.2","606","Application Data"
"42","5.813932754","34.252.113.116","10.0.2.15","TCP","60","443  >  54018 [ACK] Seq=1 Ack=553 Win=65535 Len=0"
"43","5.816621998","10.0.2.15","34.252.113.116","TLSv1.2","606","Application Data"
"44","5.824157660","34.252.113.116","10.0.2.15","TCP","60","443  >  54010 [ACK] Seq=1 Ack=553 Win=65535 Len=0"
"45","5.847623043","34.252.113.116","10.0.2.15","TLSv1.2","463","Application Data"
"46","5.847641244","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=1664 Ack=3272 Win=65535 Len=0"
"47","5.889688103","34.252.113.116","10.0.2.15","TLSv1.2","626","Application Data"
"48","5.889705483","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=553 Ack=573 Win=63888 Len=0"
"49","5.913621043","34.252.113.116","10.0.2.15","TLSv1.2","626","Application Data"
"50","5.913638037","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=553 Ack=573 Win=62780 Len=0"
"51","6.074322284","10.0.2.15","13.225.87.40","TLSv1.2","93","Application Data"
"52","6.074594638","13.225.87.40","10.0.2.15","TCP","60","443  >  51232 [ACK] Seq=40 Ack=79 Win=65535 Len=0"
"53","6.082784440","13.225.87.40","10.0.2.15","TLSv1.2","93","Application Data"
"54","6.082799345","10.0.2.15","13.225.87.40","TCP","54","51232  >  443 [ACK] Seq=79 Ack=79 Win=63360 Len=0"
"55","6.458655460","10.0.2.15","34.252.113.116","TLSv1.2","657","Application Data"
"56","6.458904736","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=3272 Ack=2267 Win=65535 Len=0"
"57","6.511455215","34.252.113.116","10.0.2.15","TLSv1.2","392","Application Data"
"58","6.511473325","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=2267 Ack=3610 Win=65535 Len=0"
"59","6.622296653","10.0.2.15","93.184.220.29","TCP","54","[TCP Previous segment not captured] 35426  >  80 [FIN, ACK] Seq=2 Ack=1 Win=63840 Len=0"
"60","6.622704240","93.184.220.29","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  35426 [ACK] Seq=1 Ack=3 Win=65535 Len=0"
"61","6.630753394","93.184.220.29","10.0.2.15","TCP","60","80  >  35426 [FIN, ACK] Seq=1 Ack=3 Win=65535 Len=0"
"62","6.630805105","10.0.2.15","93.184.220.29","TCP","54","35426  >  80 [ACK] Seq=3 Ack=2 Win=63840 Len=0"
"63","6.850950789","10.0.2.15","52.95.118.208","TCP","54","53894  >  443 [ACK] Seq=1 Ack=1 Win=63032 Len=0"
"64","6.851202781","52.95.118.208","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  53894 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"65","7.111481241","10.0.2.15","34.252.113.116","TCP","54","54026  >  443 [ACK] Seq=1 Ack=1 Win=63000 Len=0"
"66","7.111715994","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54026 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"67","7.367004785","10.0.2.15","34.252.113.116","TCP","54","54024  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"68","7.367039284","10.0.2.15","34.252.113.116","TCP","54","54020  >  443 [ACK] Seq=1 Ack=1 Win=63784 Len=0"
"69","7.367235608","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54024 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"70","7.367235709","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54020 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"71","10.143916579","10.0.2.15","34.252.113.116","TLSv1.2","613","Application Data"
"72","10.144255734","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=3610 Ack=2826 Win=65535 Len=0"
"73","10.225105972","34.252.113.116","10.0.2.15","TLSv1.2","580","Application Data"
"74","10.225134636","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=2826 Ack=4136 Win=65535 Len=0"
"75","10.226482310","34.252.113.116","10.0.2.15","TLSv1.2","925","Application Data"
"76","10.226504955","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=2826 Ack=5007 Win=65535 Len=0"
"77","10.226622859","34.252.113.116","10.0.2.15","TLSv1.2","88","Application Data"
"78","10.226627283","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=2826 Ack=5041 Win=65535 Len=0"
"79","10.421766642","10.0.2.15","34.252.113.116","TLSv1.2","597","Application Data"
"80","10.422064865","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=5041 Ack=3369 Win=65535 Len=0"
"81","10.436268346","10.0.2.15","34.252.113.116","TLSv1.2","672","Application Data"
"82","10.436556743","34.252.113.116","10.0.2.15","TCP","60","443  >  54018 [ACK] Seq=573 Ack=1171 Win=65535 Len=0"
"83","10.484816720","34.252.113.116","10.0.2.15","TLSv1.2","394","Application Data"
"84","10.484838670","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1171 Ack=913 Win=63888 Len=0"
"85","10.534377313","34.252.113.116","10.0.2.15","TLSv1.2","529","Application Data"
"86","10.534418328","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3369 Ack=5516 Win=65535 Len=0"
"87","10.534836793","34.252.113.116","10.0.2.15","TLSv1.2","623","Application Data"
"88","10.534848862","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3369 Ack=6085 Win=65535 Len=0"
"89","10.613277698","10.0.2.15","34.252.113.116","TLSv1.2","599","Application Data"
"90","10.613632217","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=6085 Ack=3914 Win=65535 Len=0"
"91","10.617928364","10.0.2.15","34.252.113.116","TLSv1.2","599","Application Data"
"92","10.618234161","34.252.113.116","10.0.2.15","TCP","60","443  >  54018 [ACK] Seq=913 Ack=1716 Win=65535 Len=0"
"93","10.620119614","10.0.2.15","34.252.113.116","TLSv1.2","599","[TCP Previous segment not captured] , Application Data"
"94","10.620417309","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54024 [ACK] Seq=1 Ack=547 Win=65535 Len=0"
"95","10.622891935","10.0.2.15","34.252.113.116","TLSv1.2","599","Application Data"
"96","10.623131090","34.252.113.116","10.0.2.15","TCP","60","443  >  54010 [ACK] Seq=573 Ack=1098 Win=65535 Len=0"
"97","10.626494689","10.0.2.15","34.252.113.116","TLSv1.2","599","[TCP Previous segment not captured] , Application Data"
"98","10.626774544","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54026 [ACK] Seq=1 Ack=547 Win=65535 Len=0"
"99","10.627543418","10.0.2.15","34.252.113.116","TLSv1.2","599","[TCP Previous segment not captured] , Application Data"
"100","10.627809272","34.252.113.116","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  54020 [ACK] Seq=1 Ack=547 Win=65535 Len=0"
"101","10.652157905","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=6085 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"102","10.652176707","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=7537 Win=65535 Len=0"
"103","10.652263688","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=7537 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"104","10.652273733","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=8989 Win=65535 Len=0"
"105","10.652336985","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=8989 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"106","10.652341026","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=10441 Win=65535 Len=0"
"107","10.652466833","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=10441 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"108","10.652471868","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=11893 Win=65535 Len=0"
"109","10.652594937","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=11893 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"110","10.652599716","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=13345 Win=65535 Len=0"
"111","10.652716104","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=13345 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"112","10.652721013","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=14797 Win=65535 Len=0"
"113","10.652838971","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=14797 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"114","10.652843741","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=16249 Win=65535 Len=0"
"115","10.652959338","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=16249 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"116","10.652964195","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=17701 Win=65535 Len=0"
"117","10.653087600","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=17701 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"118","10.653092275","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=19153 Win=65535 Len=0"
"119","10.653224782","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=19153 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"120","10.653229515","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=20605 Win=65535 Len=0"
"121","10.653376307","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=20605 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"122","10.653381166","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=22057 Win=65535 Len=0"
"123","10.653526297","34.252.113.116","10.0.2.15","TLSv1.2","1506","Application Data [TCP segment of a reassembled PDU]"
"124","10.653531135","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=23509 Win=65535 Len=0"
"125","10.653709709","34.252.113.116","10.0.2.15","TCP","2958","443  >  54022 [PSH, ACK] Seq=23509 Ack=3914 Win=65535 Len=2904 [TCP segment of a reassembled PDU]"
"126","10.653716031","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=26413 Win=65535 Len=0"
"127","10.653847073","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=26413 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"128","10.653852072","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=27865 Win=65535 Len=0"
"129","10.653977464","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=27865 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"130","10.653982505","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=29317 Win=65535 Len=0"
"131","10.654107105","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=29317 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"132","10.654111862","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=30769 Win=65535 Len=0"
"133","10.654234957","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=30769 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"134","10.654239775","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=32221 Win=65535 Len=0"
"135","10.654376376","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=32221 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"136","10.654381059","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=33673 Win=65535 Len=0"
"137","10.654500503","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=33673 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"138","10.654505227","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=35125 Win=65535 Len=0"
"139","10.654628190","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=35125 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"140","10.654632868","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=36577 Win=65535 Len=0"
"141","10.654786391","34.252.113.116","10.0.2.15","TCP","1506","443  >  54022 [PSH, ACK] Seq=36577 Ack=3914 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"142","10.654791374","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=38029 Win=65535 Len=0"
"143","10.654884868","34.252.113.116","10.0.2.15","TLSv1.2","1627","Application Data, Application Data"
"144","10.654889841","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=3914 Ack=39602 Win=65535 Len=0"
"145","10.655070575","10.0.2.15","34.252.113.116","TLSv1.2","599","Application Data"
"146","10.655236584","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=39602 Ack=4459 Win=65535 Len=0"
"147","10.655706866","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=913 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"148","10.655712251","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=2365 Win=63888 Len=0"
"149","10.655945203","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=2365 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"150","10.655950388","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=3817 Win=63888 Len=0"
"151","10.656081758","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=3817 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"152","10.656086514","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=5269 Win=63888 Len=0"
"153","10.656210685","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=5269 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"154","10.656215377","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=6721 Win=63888 Len=0"
"155","10.656335948","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=6721 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"156","10.656340858","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=8173 Win=63888 Len=0"
"157","10.656465104","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=8173 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"158","10.656470102","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=9625 Win=63888 Len=0"
"159","10.656596529","34.252.113.116","10.0.2.15","TLSv1.2","1506","Application Data [TCP segment of a reassembled PDU]"
"160","10.656601250","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=11077 Win=63888 Len=0"
"161","10.656828928","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=11077 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"162","10.656833645","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=12529 Win=63888 Len=0"
"163","10.656952790","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=12529 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"164","10.656957615","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=13981 Win=63888 Len=0"
"165","10.657077856","34.252.113.116","10.0.2.15","TCP","1506","443  >  54018 [PSH, ACK] Seq=13981 Ack=1716 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"166","10.657082649","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=15433 Win=63888 Len=0"
"167","10.660289771","34.252.113.116","10.0.2.15","TLSv1.2","20382","Application Data"
"168","10.660323571","10.0.2.15","34.252.113.116","TCP","54","54024  >  443 [ACK] Seq=547 Ack=20329 Win=51100 Len=0"
"169","10.660289853","34.252.113.116","10.0.2.15","TLSv1.2","13202","Application Data, Application Data"
"170","10.660352634","10.0.2.15","34.252.113.116","TCP","54","54018  >  443 [ACK] Seq=1716 Ack=28581 Win=55480 Len=0"
"171","10.662345210","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=573 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"172","10.662359013","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=2025 Win=62780 Len=0"
"173","10.662449691","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=2025 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"174","10.662456706","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=3477 Win=62780 Len=0"
"175","10.662661036","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=3477 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"176","10.662666019","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=4929 Win=61328 Len=0"
"177","10.663123119","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=4929 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"178","10.663131943","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=6381 Win=63888 Len=0"
"179","10.663123218","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=6381 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"180","10.663155471","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=7833 Win=62436 Len=0"
"181","10.663123290","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=7833 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"182","10.663187430","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=9285 Win=60984 Len=0"
"183","10.663123360","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=9285 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"184","10.663209222","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=10737 Win=62436 Len=0"
"185","10.663414511","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=10737 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"186","10.663419678","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=12189 Win=63888 Len=0"
"187","10.663414585","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=12189 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"188","10.663440724","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=13641 Win=62436 Len=0"
"189","10.663505722","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=13641 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"190","10.663509603","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=15093 Win=63888 Len=0"
"191","10.663676469","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=15093 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"192","10.663683195","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=16545 Win=63888 Len=0"
"193","10.663840418","34.252.113.116","10.0.2.15","TLSv1.2","2958","Application Data [TCP segment of a reassembled PDU]"
"194","10.663845456","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=19449 Win=62780 Len=0"
"195","10.663960947","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=19449 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"196","10.663965960","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=20901 Win=61328 Len=0"
"197","10.664091535","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=20901 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"198","10.664096378","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=22353 Win=63888 Len=0"
"199","10.664230692","34.252.113.116","10.0.2.15","TCP","1506","443  >  54010 [PSH, ACK] Seq=22353 Ack=1098 Win=65535 Len=1452 [TCP segment of a reassembled PDU]"
"200","10.664235529","10.0.2.15","34.252.113.116","TCP","54","54010  >  443 [ACK] Seq=1098 Ack=23805 Win=63888 Len=0"
